Name (Company),CEO,CEO_ID
Apple Inc,Tim Cook,tim_cook
Amazon.com Inc,Jeff Bezos,JeffBezos
Microsoft Corp,Satya Nadella,satyanadella
"Alphabet Inc, Google",Sundar Pichai,sundarpichai
Berkshire Hathaway Inc,Warren Buffett,WarrenBuffett
Facebook Inc,Mark Zuckerberg,facebook
JPMorgan Chase & Co,J.P. Morgan,jpmorgan
Johnson & Johnson,Alex Gorsky,JNJCares
Exxon Mobil Corp,Darren Woods,exxonmobil
Visa Inc,Alfred F Kelly Jr,Visa
Bank of America Corporation,Brian T. Moynihan,BankofAmerica
Walmart Inc,Doug McMillon,WalmartInc
Pfizer Inc,Ian C. Read,pfizer
UnitedHealth Group Inc,David S. Wichmann,UnitedHealthGrp
Wells Fargo & Co,Timothy J. Sloan,WellsFargo
AT&T Inc,John Legere,JohnLegere
Chevron Corp,Michael K. Wirth,Chevron
The Home Depot Inc,Craig Menear,HomeDepot
Mastercard Inc,Ajaypal Singh Banga,Mastercard
Boeing Co,Dennis A. Muilenburg,BoeingCEO
Intel Corp,Robert H. Swan,intel
Verizon Communications Inc,Hans Vestberg,Hansvestberg_
Cisco Systems Inc,Chuck Robbins,ChuckRobbins
Procter & Gamble Co,David S. Taylor,ProcterGamble
Coca-Cola Co,James Quincey,CocaColaCo
Merck & Co Inc,Kenneth C. Frazier,Merck
Oracle Corp,Mark Hurd,MarkVHurd
Citigroup Inc,Michael Corbat,Citi
Walt Disney Co,Bob Iger,WaltDisneyCo
NVIDIA Corp,Jensen Huang,nvidia
Netflix Inc,Reed Hastings,netflix
Comcast Corp,Brian L. Roberts,comcast
PepsiCo Inc,Ramon Laguarta,ramonlaguarta
DowDuPont Inc,Jim Fitterling,DowDuPontCo
AbbVie Inc,Richard A. Gonzalez,abbvie
International Business Machines Corp,Ginni Rometty,IBM
Amgen Inc,Robert A. Bradway,Amgen
Nike Inc,Mark Parker,Nike
Adobe Systems Inc,Shantanu Narayen,Adobe 
Philip Morris International Inc,Andr?Calantzopoulos,InsidePMI
McDonald's Corp,Steve Easterbrook,SteveEasterbrk
3M Co,Michael F. Roman,3M
Abbott Laboratories,Miles D. White,AbbottNews
Honeywell International Inc,Darius Adamczyk,honeywell
Eli Lilly and Co,David A. Ricks,LillyPad 
Union Pacific Corp,Lance M. Fritz,UnionPacific
Salesforce.com Inc,Marc Benio,Benioff
Altria Group Inc,Howard A. Willard III,AltriaNews
United Technologies Corp,Gregory J. Hayes,UTC
Accenture PLC,Pierre Nanterme,Accenture
